FID1 IID1 FID2 IID2 RT EZ Z0 Z1 Z2 PI_HAT PHE DST PPC RATIO
6130471071 R08C01 6130471110 R07C01 UN NA 0 2e-04 0.9998 0.9999 1 0.99996 1 NA
6135580116 R02C01 6172882004 R05C01 UN NA 1e-04 0.0114 0.9885 0.9942 1 0.997166 1 NA
6135580123 R03C01 6171492050 R05C01 UN NA 0 1e-04 0.9999 1 1 0.999983 1 NA
6135580144 R04C01 6135601027 R08C01 UN NA 1e-04 2e-04 0.9997 0.9998 1 0.999919 1 NA
6135580144 R04C01 6135601149 R04C01 UN NA 0 3e-04 0.9997 0.9999 1 0.999936 1 NA
6135580144 R04C01 6264550046 R07C01 UN NA 0 5e-04 0.9995 0.9997 1 0.999874 1 NA
6135580145 R04C01 6135601156 R01C01 UN NA 1e-04 0 0.9999 0.9999 1 0.999977 1 NA
6135601027 R08C01 6135601149 R04C01 UN NA 1e-04 0 0.9999 0.9999 1 0.999983 1 NA
6135601027 R08C01 6264550046 R07C01 UN NA 1e-04 3e-04 0.9996 0.9998 1 0.9999 1 NA
6135601086 R08C01 6171492090 R06C01 UN NA 0 2e-04 0.9998 0.9999 1 0.99996 1 NA
6135601149 R04C01 6264550046 R07C01 UN NA 0 3e-04 0.9997 0.9998 1 0.999918 1 NA
6160275046 R08C01 6171492013 R03C01 UN NA 0 1e-04 0.9999 1 -1 0.999977 1 NA
